lookahead,train_length,test_length,ic_by_day,ic
1,1134,63,0.027344180316621225,0.0218255925929266
1,1134,21,0.054177026845935616,-0.004539453161203439
1,252,63,0.03615460870735093,-0.01610170413712456
1,252,21,0.07237881060729658,-0.00887249510687243
5,1134,63,0.07658580531979911,0.055432894587323284
5,1134,21,0.15404943391683848,-0.016190721900251427
5,252,63,0.06895296541464575,0.04045980710093734
5,252,21,0.18806254829949812,-0.023760903816319557
21,1134,63,0.10850557089871245,0.09605984883522402
21,1134,21,0.14481522301648297,-0.012465198063385077
21,252,63,0.07537236074537143,0.17047539896903102
21,252,21,0.12700471467195754,-0.07889952070775799
